detailUrl,zpid,status,homeType,streetAddress,unit,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,lotAreaValue,lotAreaUnit,listingdate
https://www.zillow.com/homedetails/190-Grulke-St-19-Kitchener-ON-N2A-1T1/2062769400_zpid/,2062769400,Townhouse for sale,TOWNHOUSE,190 Grulke St #19,# 19,N2A1T1,Kitchener,ON,43.435562,-80.43033,549900,2,3,1478,,,2024-03-01
https://www.zillow.com/homedetails/212-Rittenhouse-Rd-Kitchener-ON-N2E-2X8/2060595172_zpid/,2060595172,House for sale,SINGLE_FAMILY,212 Rittenhouse Rd,,N2E2X8,Kitchener,ON,43.409687,-80.48721,809000,2,3,,,,2024-01-07
https://www.zillow.com/homedetails/127-Mill-St-Kitchener-ON-N2M-3P7/349063905_zpid/,349063905,Multi-family home for sale,MULTI_FAMILY,127 Mill St,,N2M3P7,Kitchener,ON,43.440277,-80.49089,750000,2,4,,4000,sqft,2024-03-21
https://www.zillow.com/homedetails/22-Brookside-Cres-Kitchener-ON-N2N-1H1/2071177478_zpid/,2071177478,House for sale,SINGLE_FAMILY,22 Brookside Cres,,N2N1H1,Kitchener,ON,43.422756,-80.5247,749000,2,4,,,,2024-03-09
https://www.zillow.com/homedetails/15-Wellington-St-S-1702-Kitchener-ON-N2G-0E4/351804605_zpid/,351804605,Condo for sale,CONDO,15 Wellington St S #1702,# 1702,N2G0E4,Kitchener,ON,43.45337,-80.50232,575000,2,2,810,,,2024-06-05
https://www.zillow.com/homedetails/90-Westwood-Dr-Kitchener-ON-N2M-2K6/2064554680_zpid/,2064554680,House for sale,SINGLE_FAMILY,90 Westwood Dr,,N2M2K6,Kitchener,ON,43.44545,-80.527405,669000,3,3,1252,4291.35,sqft,2024-04-20
https://www.zillow.com/homedetails/300-Blackwell-Dr-Kitchener-ON-N2N-2T2/2061914282_zpid/,2061914282,House for sale,SINGLE_FAMILY,300 Blackwell Dr,,N2N2T2,Kitchener,ON,43.422543,-80.541084,829900,2,5,,5000,sqft,2024-04-29
https://www.zillow.com/homedetails/10-Jean-Ave-Kitchener-ON-N2A-1P1/2079369170_zpid/,2079369170,House for sale,SINGLE_FAMILY,10 Jean Ave,,N2A1P1,Kitchener,ON,43.434704,-80.43776,599000,2,3,1029,3000,sqft,2024-06-17
https://www.zillow.com/homedetails/46-Coach-Hill-Dr-Kitchener-ON-N2E-1P4/399220110_zpid/,399220110,House for sale,SINGLE_FAMILY,46 Coach Hill Dr,,N2E1P4,Kitchener,ON,43.417336,-80.473076,799000,2,5,1054,6750,sqft,2024-02-19
https://www.zillow.com/homedetails/60-Charles-St-W-503-Kitchener-ON-N2G-0C9/2054109106_zpid/,2054109106,Condo for sale,CONDO,60 Charles St W #503,# 503,N2G0C9,Kitchener,ON,43.450386,-80.493126,409900,1,1,595,,,2024-02-06
https://www.zillow.com/homedetails/302-Southill-Dr-Kitchener-ON-N2A-2R1/351338042_zpid/,351338042,House for sale,SINGLE_FAMILY,302 Southill Dr,,N2A2R1,Kitchener,ON,43.431686,-80.427086,749900,2,4,973,5106.2396,sqft,2024-03-09
